timestamp,lead_id,session_id,name,phone,email,interest_projects,interest_projects_display,preferred_region,unit_type,budget_min,budget_max,budget_band,purpose,timeline,contact_channel,consent_contact,confirmed_by_user,lead_temperature,reason_codes,reason_codes_display,tags,tags_display,lead_summary,customer_summary,executive_summary,next_action,raw_json,kb_version_hash
2026-02-22T09:30:13Z,WDDPX-260222-0001,8885deab-9608-40b7-8a79-8072ae0b4120,John Smith,+2001165026398,,"[""Neo""]",Neo,East Cairo,apartment,3278418,4251685,MID,Invest,0-3 months,WhatsApp,true,true,Hot,"[""high_intent"", ""short_timeline"", ""budget_present"", ""project_selected"", ""consented""]",high_intent; short_timeline; budget_present; project_selected; consented,"[""callback""]",callback,Hot lead — Invest intent for Neo (East Cairo). Budget: MID. Timeline: 0-3 months.,"John is an investor exploring real estate opportunities in the East Cairo residential market. Showed strong interest in Neo. Neo offers located in heart of mostakbal city, specifically a apartment within mid-market budget (3–6M EGP). During the session, John requested brochure, inquired about site visit, agreed to callback. Currently planning within 3 months.",Hot lead — Invest intent for Neo (East Cairo). Budget: MID. Timeline: 0-3 months.,Priority callback within 24h. Send Neo brochure + payment plan.,"{""timestamp"": ""2026-02-22T09:30:13Z"", ""lead_id"": ""WDDPX-260222-0001"", ""session_id"": ""8885deab-9608-40b7-8a79-8072ae0b4120"", ""name"": ""John Smith"", ""phone"": ""+2001165026398"", ""email"": """", ""interest_projects"": ""[\""Neo\""]"", ""interest_projects_display"": ""Neo"", ""preferred_region"": ""East Cairo"", ""unit_type"": ""apartment"", ""budget_min"": 3278418, ""budget_max"": 4251685, ""budget_band"": ""MID"", ""purpose"": ""Invest"", ""timeline"": ""0-3 months"", ""contact_channel"": ""WhatsApp"", ""consent_contact"": ""true"", ""confirmed_by_user"": ""true"", ""lead_temperature"": ""Hot"", ""reason_codes"": ""[\""high_intent\"", \""short_timeline\"", \""budget_present\"", \""project_selected\"", \""consented\""]"", ""reason_codes_display"": ""high_intent; short_timeline; budget_present; project_selected; consented"", ""tags"": ""[\""callback\""]"", ""tags_display"": ""callback"", ""lead_summary"": ""Hot lead — Invest intent for Neo (East Cairo). Budget: MID. Timeline: 0-3 months."", ""customer_summary"": ""John is an investor exploring real estate opportunities in the East Cairo residential market. Showed strong interest in Neo. Neo offers located in heart of mostakbal city, specifically a apartment within mid-market budget (3–6M EGP). During the session, John requested brochure, inquired about site visit, agreed to callback. Currently planning within 3 months."", ""executive_summary"": ""Hot lead — Invest intent for Neo (East Cairo). Budget: MID. Timeline: 0-3 months."", ""next_action"": ""Priority callback within 24h. Send Neo brochure + payment plan."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-02-27T10:03:58Z,WDDPX-260227-0002,53ac33c5-5083-4d11-9f67-f814d78c5814,Emma Williams,+2001024549543,,"[""Murano""]",Murano,Ain El Sokhna,chalet,6489644,7065854,HIGH,Weekend,0-3 months,Phone,true,true,Hot,"[""high_intent"", ""short_timeline"", ""budget_present"", ""project_selected"", ""consented""]",high_intent; short_timeline; budget_present; project_selected; consented,"[""high_budget""]",high_budget,Hot lead — Weekend intent for Murano (Ain El Sokhna). Budget: HIGH. Timeline: 0-3 months.,"Emma is looking for a weekend/holiday retreat in Ain El Sokhna's coastal market. Showed strong interest in Murano. Murano offers located in 750 meters of beach, 50 minutes from cairo, specifically a chalet within premium budget segment (6–10M EGP). During the session, Emma agreed to callback. Currently planning within 3 months.",Hot lead — Weekend intent for Murano (Ain El Sokhna). Budget: HIGH. Timeline: 0-3 months.,Priority callback within 24h. Send Murano brochure + payment plan.,"{""timestamp"": ""2026-02-27T10:03:58Z"", ""lead_id"": ""WDDPX-260227-0002"", ""session_id"": ""53ac33c5-5083-4d11-9f67-f814d78c5814"", ""name"": ""Emma Williams"", ""phone"": ""+2001024549543"", ""email"": """", ""interest_projects"": ""[\""Murano\""]"", ""interest_projects_display"": ""Murano"", ""preferred_region"": ""Ain El Sokhna"", ""unit_type"": ""chalet"", ""budget_min"": 6489644, ""budget_max"": 7065854, ""budget_band"": ""HIGH"", ""purpose"": ""Weekend"", ""timeline"": ""0-3 months"", ""contact_channel"": ""Phone"", ""consent_contact"": ""true"", ""confirmed_by_user"": ""true"", ""lead_temperature"": ""Hot"", ""reason_codes"": ""[\""high_intent\"", \""short_timeline\"", \""budget_present\"", \""project_selected\"", \""consented\""]"", ""reason_codes_display"": ""high_intent; short_timeline; budget_present; project_selected; consented"", ""tags"": ""[\""high_budget\""]"", ""tags_display"": ""high_budget"", ""lead_summary"": ""Hot lead — Weekend intent for Murano (Ain El Sokhna). Budget: HIGH. Timeline: 0-3 months."", ""customer_summary"": ""Emma is looking for a weekend/holiday retreat in Ain El Sokhna's coastal market. Showed strong interest in Murano. Murano offers located in 750 meters of beach, 50 minutes from cairo, specifically a chalet within premium budget segment (6–10M EGP). During the session, Emma agreed to callback. Currently planning within 3 months."", ""executive_summary"": ""Hot lead — Weekend intent for Murano (Ain El Sokhna). Budget: HIGH. Timeline: 0-3 months."", ""next_action"": ""Priority callback within 24h. Send Murano brochure + payment plan."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-02-25T10:51:07Z,WDDPX-260225-0003,7e8edb2c-12a8-4755-acf4-1e33111ab071,John Smith,+2001240094589,,"[""Neo""]",Neo,East Cairo,duplex,3397034,4302122,MID,Buy,Exploring,WhatsApp,false,false,Cold,"[""browsing_only"", ""low_signal""]",browsing_only; low_signal,[],,Cold lead — Buy intent for Neo (East Cairo). Budget: MID. Timeline: Exploring.,"John is a prospective homebuyer in the East Cairo residential market. Showed strong interest in Neo. Neo offers located in heart of mostakbal city, specifically a duplex within mid-market budget (3–6M EGP). During the session, John inquired about site visit. Currently in early exploration stage.",Cold lead — Buy intent for Neo (East Cairo). Budget: MID. Timeline: Exploring.,Add to nurture sequence. Email Neo project highlights.,"{""timestamp"": ""2026-02-25T10:51:07Z"", ""lead_id"": ""WDDPX-260225-0003"", ""session_id"": ""7e8edb2c-12a8-4755-acf4-1e33111ab071"", ""name"": ""John Smith"", ""phone"": ""+2001240094589"", ""email"": """", ""interest_projects"": ""[\""Neo\""]"", ""interest_projects_display"": ""Neo"", ""preferred_region"": ""East Cairo"", ""unit_type"": ""duplex"", ""budget_min"": 3397034, ""budget_max"": 4302122, ""budget_band"": ""MID"", ""purpose"": ""Buy"", ""timeline"": ""Exploring"", ""contact_channel"": ""WhatsApp"", ""consent_contact"": ""false"", ""confirmed_by_user"": ""false"", ""lead_temperature"": ""Cold"", ""reason_codes"": ""[\""browsing_only\"", \""low_signal\""]"", ""reason_codes_display"": ""browsing_only; low_signal"", ""tags"": ""[]"", ""tags_display"": """", ""lead_summary"": ""Cold lead — Buy intent for Neo (East Cairo). Budget: MID. Timeline: Exploring."", ""customer_summary"": ""John is a prospective homebuyer in the East Cairo residential market. Showed strong interest in Neo. Neo offers located in heart of mostakbal city, specifically a duplex within mid-market budget (3–6M EGP). During the session, John inquired about site visit. Currently in early exploration stage."", ""executive_summary"": ""Cold lead — Buy intent for Neo (East Cairo). Budget: MID. Timeline: Exploring."", ""next_action"": ""Add to nurture sequence. Email Neo project highlights."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-02-18T09:16:24Z,WDDPX-260218-0004,5a486e29-e180-41d1-b3ab-78437170acd9,Nour El Din,+2001146553958,,"[""ClubTown""]",ClubTown,Cairo,duplex,1561983,3037987,LOW,Buy,3-6 months,WhatsApp,true,true,Cold,"[""consent_declined""]",consent_declined,[],,Cold lead — Buy intent for ClubTown (Cairo). Budget: LOW. Timeline: 3-6 months.,"Nour is a prospective homebuyer in the Cairo residential market. Showed strong interest in ClubTown. ClubTown offers located in new degla, specifically a duplex within entry-level budget range (1.5–3M EGP). During the session, Nour inquired about site visit, agreed to callback. Currently considering a 3-6 month timeline.",Cold lead — Buy intent for ClubTown (Cairo). Budget: LOW. Timeline: 3-6 months.,Add to nurture sequence. Email ClubTown project highlights.,"{""timestamp"": ""2026-02-18T09:16:24Z"", ""lead_id"": ""WDDPX-260218-0004"", ""session_id"": ""5a486e29-e180-41d1-b3ab-78437170acd9"", ""name"": ""Nour El Din"", ""phone"": ""+2001146553958"", ""email"": """", ""interest_projects"": ""[\""ClubTown\""]"", ""interest_projects_display"": ""ClubTown"", ""preferred_region"": ""Cairo"", ""unit_type"": ""duplex"", ""budget_min"": 1561983, ""budget_max"": 3037987, ""budget_band"": ""LOW"", ""purpose"": ""Buy"", ""timeline"": ""3-6 months"", ""contact_channel"": ""WhatsApp"", ""consent_contact"": ""true"", ""confirmed_by_user"": ""true"", ""lead_temperature"": ""Cold"", ""reason_codes"": ""[\""consent_declined\""]"", ""reason_codes_display"": ""consent_declined"", ""tags"": ""[]"", ""tags_display"": """", ""lead_summary"": ""Cold lead — Buy intent for ClubTown (Cairo). Budget: LOW. Timeline: 3-6 months."", ""customer_summary"": ""Nour is a prospective homebuyer in the Cairo residential market. Showed strong interest in ClubTown. ClubTown offers located in new degla, specifically a duplex within entry-level budget range (1.5–3M EGP). During the session, Nour inquired about site visit, agreed to callback. Currently considering a 3-6 month timeline."", ""executive_summary"": ""Cold lead — Buy intent for ClubTown (Cairo). Budget: LOW. Timeline: 3-6 months."", ""next_action"": ""Add to nurture sequence. Email ClubTown project highlights."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-02-20T13:42:52Z,WDDPX-260220-0005,0a55c5b7-3e9c-44e7-96a0-76becb1678b8,Tarek El Sayed,+2001284411983,tarek.el.sayed@example.com,"[""Vero""]",Vero,North Coast,chalet,3032379,4680882,MID,Invest,Immediate,Phone,true,true,Hot,"[""high_intent"", ""short_timeline"", ""budget_present"", ""project_selected"", ""consented""]",high_intent; short_timeline; budget_present; project_selected; consented,"[""urgent""]",urgent,Hot lead — Invest intent for Vero (North Coast). Budget: MID. Timeline: Immediate.,"Tarek is an investor exploring real estate opportunities in North Coast's coastal market. Showed strong interest in Vero. Vero offers located in sidi abd el rahman, elevated coastal retreat, specifically a chalet within mid-market budget (3–6M EGP). During the session, Tarek agreed to callback. Currently ready to proceed immediately.",Hot lead — Invest intent for Vero (North Coast). Budget: MID. Timeline: Immediate.,Priority callback within 24h. Send Vero brochure + payment plan.,"{""timestamp"": ""2026-02-20T13:42:52Z"", ""lead_id"": ""WDDPX-260220-0005"", ""session_id"": ""0a55c5b7-3e9c-44e7-96a0-76becb1678b8"", ""name"": ""Tarek El Sayed"", ""phone"": ""+2001284411983"", ""email"": ""tarek.el.sayed@example.com"", ""interest_projects"": ""[\""Vero\""]"", ""interest_projects_display"": ""Vero"", ""preferred_region"": ""North Coast"", ""unit_type"": ""chalet"", ""budget_min"": 3032379, ""budget_max"": 4680882, ""budget_band"": ""MID"", ""purpose"": ""Invest"", ""timeline"": ""Immediate"", ""contact_channel"": ""Phone"", ""consent_contact"": ""true"", ""confirmed_by_user"": ""true"", ""lead_temperature"": ""Hot"", ""reason_codes"": ""[\""high_intent\"", \""short_timeline\"", \""budget_present\"", \""project_selected\"", \""consented\""]"", ""reason_codes_display"": ""high_intent; short_timeline; budget_present; project_selected; consented"", ""tags"": ""[\""urgent\""]"", ""tags_display"": ""urgent"", ""lead_summary"": ""Hot lead — Invest intent for Vero (North Coast). Budget: MID. Timeline: Immediate."", ""customer_summary"": ""Tarek is an investor exploring real estate opportunities in North Coast's coastal market. Showed strong interest in Vero. Vero offers located in sidi abd el rahman, elevated coastal retreat, specifically a chalet within mid-market budget (3–6M EGP). During the session, Tarek agreed to callback. Currently ready to proceed immediately."", ""executive_summary"": ""Hot lead — Invest intent for Vero (North Coast). Budget: MID. Timeline: Immediate."", ""next_action"": ""Priority callback within 24h. Send Vero brochure + payment plan."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-02-20T08:04:02Z,WDDPX-260220-0006,4b3ededa-c9f2-4d01-9e6b-2d7801e84512,Karim Youssef,+2001139958838,,"[""Promenade New Cairo""]",Promenade New Cairo,Cairo,penthouse,1836343,3690853,LOW,Buy,0-3 months,Phone,true,false,Warm,"[""timeline_long""]",timeline_long,[],,Warm lead — Buy intent for Promenade New Cairo (Cairo). Budget: LOW. Timeline: 0-3 months.,"Karim is a prospective homebuyer in the Cairo residential market. Showed strong interest in Promenade New Cairo. Promenade New Cairo offers located in 5 minutes from auc and road 90, specifically a penthouse within entry-level budget range (1.5–3M EGP). During the session, Karim requested brochure, asked about payment plans, agreed to callback. Currently planning within 3 months.",Warm lead — Buy intent for Promenade New Cairo (Cairo). Budget: LOW. Timeline: 0-3 months.,Schedule follow-up call. Share Promenade New Cairo digital brochure.,"{""timestamp"": ""2026-02-20T08:04:02Z"", ""lead_id"": ""WDDPX-260220-0006"", ""session_id"": ""4b3ededa-c9f2-4d01-9e6b-2d7801e84512"", ""name"": ""Karim Youssef"", ""phone"": ""+2001139958838"", ""email"": """", ""interest_projects"": ""[\""Promenade New Cairo\""]"", ""interest_projects_display"": ""Promenade New Cairo"", ""preferred_region"": ""Cairo"", ""unit_type"": ""penthouse"", ""budget_min"": 1836343, ""budget_max"": 3690853, ""budget_band"": ""LOW"", ""purpose"": ""Buy"", ""timeline"": ""0-3 months"", ""contact_channel"": ""Phone"", ""consent_contact"": ""true"", ""confirmed_by_user"": ""false"", ""lead_temperature"": ""Warm"", ""reason_codes"": ""[\""timeline_long\""]"", ""reason_codes_display"": ""timeline_long"", ""tags"": ""[]"", ""tags_display"": """", ""lead_summary"": ""Warm lead — Buy intent for Promenade New Cairo (Cairo). Budget: LOW. Timeline: 0-3 months."", ""customer_summary"": ""Karim is a prospective homebuyer in the Cairo residential market. Showed strong interest in Promenade New Cairo. Promenade New Cairo offers located in 5 minutes from auc and road 90, specifically a penthouse within entry-level budget range (1.5–3M EGP). During the session, Karim requested brochure, asked about payment plans, agreed to callback. Currently planning within 3 months."", ""executive_summary"": ""Warm lead — Buy intent for Promenade New Cairo (Cairo). Budget: LOW. Timeline: 0-3 months."", ""next_action"": ""Schedule follow-up call. Share Promenade New Cairo digital brochure."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-02-21T23:53:00Z,WDDPX-260221-0007,b5592ae1-9231-4750-8d80-e84390fa7335,Michael Johnson,+2001171780854,,"[""ClubTown"", ""Neo""]",ClubTown; Neo,Cairo,apartment,10380121,11116773,ULTRA,Invest,0-3 months,WhatsApp,true,true,Hot,"[""high_intent"", ""short_timeline"", ""budget_present"", ""project_selected"", ""consented""]",high_intent; short_timeline; budget_present; project_selected; consented,"[""high_budget""]",high_budget,"Hot lead — Invest intent for ClubTown, Neo (Cairo). Budget: ULTRA. Timeline: 0-3 months.","Michael is an investor exploring real estate opportunities in the Cairo residential market. Showed strong interest in ClubTown, Neo. ClubTown offers located in new degla, specifically a apartment within ultra-premium tier (10M+ EGP). During the session, Michael asked about payment plans, inquired about site visit, agreed to callback. Currently planning within 3 months.","Hot lead — Invest intent for ClubTown, Neo (Cairo). Budget: ULTRA. Timeline: 0-3 months.","Priority callback within 24h. Send ClubTown, Neo brochure + payment plan.","{""timestamp"": ""2026-02-21T23:53:00Z"", ""lead_id"": ""WDDPX-260221-0007"", ""session_id"": ""b5592ae1-9231-4750-8d80-e84390fa7335"", ""name"": ""Michael Johnson"", ""phone"": ""+2001171780854"", ""email"": """", ""interest_projects"": ""[\""ClubTown\"", \""Neo\""]"", ""interest_projects_display"": ""ClubTown; Neo"", ""preferred_region"": ""Cairo"", ""unit_type"": ""apartment"", ""budget_min"": 10380121, ""budget_max"": 11116773, ""budget_band"": ""ULTRA"", ""purpose"": ""Invest"", ""timeline"": ""0-3 months"", ""contact_channel"": ""WhatsApp"", ""consent_contact"": ""true"", ""confirmed_by_user"": ""true"", ""lead_temperature"": ""Hot"", ""reason_codes"": ""[\""high_intent\"", \""short_timeline\"", \""budget_present\"", \""project_selected\"", \""consented\""]"", ""reason_codes_display"": ""high_intent; short_timeline; budget_present; project_selected; consented"", ""tags"": ""[\""high_budget\""]"", ""tags_display"": ""high_budget"", ""lead_summary"": ""Hot lead — Invest intent for ClubTown, Neo (Cairo). Budget: ULTRA. Timeline: 0-3 months."", ""customer_summary"": ""Michael is an investor exploring real estate opportunities in the Cairo residential market. Showed strong interest in ClubTown, Neo. ClubTown offers located in new degla, specifically a apartment within ultra-premium tier (10M+ EGP). During the session, Michael asked about payment plans, inquired about site visit, agreed to callback. Currently planning within 3 months."", ""executive_summary"": ""Hot lead — Invest intent for ClubTown, Neo (Cairo). Budget: ULTRA. Timeline: 0-3 months."", ""next_action"": ""Priority callback within 24h. Send ClubTown, Neo brochure + payment plan."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-03-01T16:25:28Z,WDDPX-260301-0008,6793a976-4330-47d8-afe0-cfeafb46dcfe,David Doe,+2001081216573,,"[""Vero""]",Vero,North Coast,chalet,6346141,7939283,HIGH,Invest,0-3 months,WhatsApp,true,true,Hot,"[""high_intent"", ""short_timeline"", ""budget_present"", ""project_selected"", ""consented""]",high_intent; short_timeline; budget_present; project_selected; consented,"[""high_budget""]",high_budget,Hot lead — Invest intent for Vero (North Coast). Budget: HIGH. Timeline: 0-3 months.,"David is an investor exploring real estate opportunities in North Coast's coastal market. Showed strong interest in Vero. Vero offers located in sidi abd el rahman, elevated coastal retreat, specifically a chalet within premium budget segment (6–10M EGP). During the session, David agreed to callback. Currently planning within 3 months.",Hot lead — Invest intent for Vero (North Coast). Budget: HIGH. Timeline: 0-3 months.,Priority callback within 24h. Send Vero brochure + payment plan.,"{""timestamp"": ""2026-03-01T16:25:28Z"", ""lead_id"": ""WDDPX-260301-0008"", ""session_id"": ""6793a976-4330-47d8-afe0-cfeafb46dcfe"", ""name"": ""David Doe"", ""phone"": ""+2001081216573"", ""email"": """", ""interest_projects"": ""[\""Vero\""]"", ""interest_projects_display"": ""Vero"", ""preferred_region"": ""North Coast"", ""unit_type"": ""chalet"", ""budget_min"": 6346141, ""budget_max"": 7939283, ""budget_band"": ""HIGH"", ""purpose"": ""Invest"", ""timeline"": ""0-3 months"", ""contact_channel"": ""WhatsApp"", ""consent_contact"": ""true"", ""confirmed_by_user"": ""true"", ""lead_temperature"": ""Hot"", ""reason_codes"": ""[\""high_intent\"", \""short_timeline\"", \""budget_present\"", \""project_selected\"", \""consented\""]"", ""reason_codes_display"": ""high_intent; short_timeline; budget_present; project_selected; consented"", ""tags"": ""[\""high_budget\""]"", ""tags_display"": ""high_budget"", ""lead_summary"": ""Hot lead — Invest intent for Vero (North Coast). Budget: HIGH. Timeline: 0-3 months."", ""customer_summary"": ""David is an investor exploring real estate opportunities in North Coast's coastal market. Showed strong interest in Vero. Vero offers located in sidi abd el rahman, elevated coastal retreat, specifically a chalet within premium budget segment (6–10M EGP). During the session, David agreed to callback. Currently planning within 3 months."", ""executive_summary"": ""Hot lead — Invest intent for Vero (North Coast). Budget: HIGH. Timeline: 0-3 months."", ""next_action"": ""Priority callback within 24h. Send Vero brochure + payment plan."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-02-28T19:09:51Z,WDDPX-260228-0009,9992e229-b83d-413e-a98a-e030b2ab7969,Salma Ashraf,+2001131931511,,"[""Murano""]",Murano,Ain El Sokhna,duplex,6099867,6707947,HIGH,Weekend,Immediate,WhatsApp,true,true,Hot,"[""high_intent"", ""short_timeline"", ""budget_present"", ""project_selected"", ""consented""]",high_intent; short_timeline; budget_present; project_selected; consented,"[""high_budget"", ""urgent"", ""callback""]",high_budget; urgent; callback,Hot lead — Weekend intent for Murano (Ain El Sokhna). Budget: HIGH. Timeline: Immediate.,"Salma is looking for a weekend/holiday retreat in Ain El Sokhna's coastal market. Showed strong interest in Murano. Murano offers located in 750 meters of beach, 50 minutes from cairo, specifically a duplex within premium budget segment (6–10M EGP). During the session, Salma requested brochure, agreed to callback. Currently ready to proceed immediately.",Hot lead — Weekend intent for Murano (Ain El Sokhna). Budget: HIGH. Timeline: Immediate.,Priority callback within 24h. Send Murano brochure + payment plan.,"{""timestamp"": ""2026-02-28T19:09:51Z"", ""lead_id"": ""WDDPX-260228-0009"", ""session_id"": ""9992e229-b83d-413e-a98a-e030b2ab7969"", ""name"": ""Salma Ashraf"", ""phone"": ""+2001131931511"", ""email"": """", ""interest_projects"": ""[\""Murano\""]"", ""interest_projects_display"": ""Murano"", ""preferred_region"": ""Ain El Sokhna"", ""unit_type"": ""duplex"", ""budget_min"": 6099867, ""budget_max"": 6707947, ""budget_band"": ""HIGH"", ""purpose"": ""Weekend"", ""timeline"": ""Immediate"", ""contact_channel"": ""WhatsApp"", ""consent_contact"": ""true"", ""confirmed_by_user"": ""true"", ""lead_temperature"": ""Hot"", ""reason_codes"": ""[\""high_intent\"", \""short_timeline\"", \""budget_present\"", \""project_selected\"", \""consented\""]"", ""reason_codes_display"": ""high_intent; short_timeline; budget_present; project_selected; consented"", ""tags"": ""[\""high_budget\"", \""urgent\"", \""callback\""]"", ""tags_display"": ""high_budget; urgent; callback"", ""lead_summary"": ""Hot lead — Weekend intent for Murano (Ain El Sokhna). Budget: HIGH. Timeline: Immediate."", ""customer_summary"": ""Salma is looking for a weekend/holiday retreat in Ain El Sokhna's coastal market. Showed strong interest in Murano. Murano offers located in 750 meters of beach, 50 minutes from cairo, specifically a duplex within premium budget segment (6–10M EGP). During the session, Salma requested brochure, agreed to callback. Currently ready to proceed immediately."", ""executive_summary"": ""Hot lead — Weekend intent for Murano (Ain El Sokhna). Budget: HIGH. Timeline: Immediate."", ""next_action"": ""Priority callback within 24h. Send Murano brochure + payment plan."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
2026-02-18T08:47:07Z,WDDPX-260218-0010,be215fb7-d84e-40b6-abb2-d7b54b31f85f,Sarah Emma,+2001073013961,,"[""Neo"", ""Promenade New Cairo""]",Neo; Promenade New Cairo,East Cairo,duplex,3462847,5005713,MID,Buy,0-3 months,WhatsApp,false,false,Cold,"[""browsing_only"", ""low_signal""]",browsing_only; low_signal,[],,"Cold lead — Buy intent for Neo, Promenade New Cairo (East Cairo). Budget: MID. Timeline: 0-3 months.","Sarah is a prospective homebuyer in the East Cairo residential market. Showed strong interest in Neo, Promenade New Cairo. Neo offers located in heart of mostakbal city, specifically a duplex within mid-market budget (3–6M EGP). During the session, Sarah browsed project details. Currently planning within 3 months.","Cold lead — Buy intent for Neo, Promenade New Cairo (East Cairo). Budget: MID. Timeline: 0-3 months.","Add to nurture sequence. Email Neo, Promenade New Cairo project highlights.","{""timestamp"": ""2026-02-18T08:47:07Z"", ""lead_id"": ""WDDPX-260218-0010"", ""session_id"": ""be215fb7-d84e-40b6-abb2-d7b54b31f85f"", ""name"": ""Sarah Emma"", ""phone"": ""+2001073013961"", ""email"": """", ""interest_projects"": ""[\""Neo\"", \""Promenade New Cairo\""]"", ""interest_projects_display"": ""Neo; Promenade New Cairo"", ""preferred_region"": ""East Cairo"", ""unit_type"": ""duplex"", ""budget_min"": 3462847, ""budget_max"": 5005713, ""budget_band"": ""MID"", ""purpose"": ""Buy"", ""timeline"": ""0-3 months"", ""contact_channel"": ""WhatsApp"", ""consent_contact"": ""false"", ""confirmed_by_user"": ""false"", ""lead_temperature"": ""Cold"", ""reason_codes"": ""[\""browsing_only\"", \""low_signal\""]"", ""reason_codes_display"": ""browsing_only; low_signal"", ""tags"": ""[]"", ""tags_display"": """", ""lead_summary"": ""Cold lead — Buy intent for Neo, Promenade New Cairo (East Cairo). Budget: MID. Timeline: 0-3 months."", ""customer_summary"": ""Sarah is a prospective homebuyer in the East Cairo residential market. Showed strong interest in Neo, Promenade New Cairo. Neo offers located in heart of mostakbal city, specifically a duplex within mid-market budget (3–6M EGP). During the session, Sarah browsed project details. Currently planning within 3 months."", ""executive_summary"": ""Cold lead — Buy intent for Neo, Promenade New Cairo (East Cairo). Budget: MID. Timeline: 0-3 months."", ""next_action"": ""Add to nurture sequence. Email Neo, Promenade New Cairo project highlights."", ""kb_version_hash"": ""v1.2-parity""}",v1.2-parity
